tconst,primaryTitle,averageRating,directors,genres,actor,languages
tt0045616,Cease Fire!,5.9,nm0190096,"Documentary,War","Cheong Yul Bak, Fred R. Bates, Gene M. Brooks, Fritz Brosch, Albert Bernard Cook, Richard Karl Elliott, Harold D. English, Henry Goszkowski, Johnnie L. Mayes, Charlie W. Owen, Roy Thompson Jr., Otis Wright","qbn, fr"
tt0045627,Chuk and Gek,6.7,nm0525699,"Comedy,Drama",Andrei Chilikin,ru
tt0045628,Ci troviamo in galleria,5.4,nm0006615,"Comedy,Musical",Maria Gloria Crociani,en
tt0045629,Cinema d'altri tempi,5.8,nm0826642,Comedy,"Jean Demy, Rita Stazi","fr, qbn"
tt0045630,City Beneath the Sea,5.4,nm0091430,"Action,Adventure,Drama",LeRoi Antoine,"ru, bg, fr, en, tr"
tt0045631,City That Never Sleeps,6.7,nm0041678,"Crime,Drama,Film-Noir","Philip L. Boddy, Leonard Diebold, Thomas Jones, Wilbur F. Parker","ja, en, qbn, fr, sv, ru"
tt0045646,The Conquest of Everest,7.3,nm0522943,"Adventure,Documentary","Tom Bourdillon, Alfred Gregory, Wilfred Noyce, Griffith Pugh","ru, ja, qbn, fr"
tt0045654,Crash of Silence,7.4,nm0533241,Drama,"Doreen Gallagher, Michael Mallinson, Colin Wilkinson","ru, tr, bg"
tt0045661,Cry of the Hunted,6.1,nm0507390,"Crime,Drama,Film-Noir","Marion Wolfe, Mary Zavian","tr, qbn, fr, en, ja"
tt0045671,"Dansa, min docka...",4.8,nm0845496,"Comedy,Mystery,Thriller","Ingmar Karlsson, Carl Nydahl",en
tt0045674,Death Goes to School,5.9,nm0165107,"Crime,Mystery","Jenine Matto, Imogen Moynihan, Enid Stewart, Sandra Whipp",en
tt0045687,The Diamond Queen,4.7,nm0103975,"Adventure,Romance",Wanda Brown,"en, qbn, tr, fr"
tt0045702,Down Among the Sheltering Palms,5.6,nm0332539,"Comedy,Musical,Romance","Clinton Bagwell, Sinlofi Jerry Talo",tr
tt0045706,Dream Wife,5.9,nm0791084,"Comedy,Romance",Mohamed Ilbagi,"qbn, fr, en, tr, ja, ru"
tt0045715,...e Napoli canta!,4.8,nm0343891,"Drama,Musical",Rodolfo Morelli,en
tt0045718,Easy to Love,6.2,nm0910199,"Comedy,Musical,Romance","Hal Berns, Bud Gaines","ru, fr, en, tr, qbn, sr"
tt0045719,Eaux d'artifice,6.9,nm0001910,Short,Carmilla Salvatorelli,ru
tt0045723,Einmal kehr' ich wieder,5.3,nm0902006,Comedy,"Viktor Beck, Günter Matern, A. v. Schwertführer",hr
tt0045734,Sunday Heroes,6.1,nm0131460,"Drama,Sport","Enrico Cristallini, Walter Crosini, Vittorio Pozzo, Terttù Sandborg, Luciano Seroccato, Florindo Stocchi, Silvano Tartaglini, Livio Urbani, Piero Vitiello",en
tt0045739,Too Young for Love,8.1,nm0208332,Comedy,Michele Di Giulio,en
tt0045743,Fair Wind to Java,5.7,nm0437356,"Action,Adventure,Drama",Mailoa Kalili,"en, qbn, tr, fr, ja"
tt0045745,The Fake,6.1,nm0337103,"Crime,Drama,Film-Noir",Marianne Noelle,"en, tr"
tt0045746,Fanciulle di lusso,5.7,nm0615868,"Comedy,Romance",Franco Lodi,"fr, qbn"
tt0045750,Father of Four,6.2,nm0641045,"Comedy,Family",Svend Aage Madsen,en
tt0045758,Fear and Desire,5.3,nm0000040,"Drama,Thriller,War","David Allen, Bob Dierks, Barney Ettengoff, Chet Fabian, Steve Hahn, Toba Kubrick, Herbert Lebowitz, Martin Perveler","en, ru, fr, tr, ja, cmn"
tt0045759,Eager to Live,6.5,nm0329746,Drama,"Maria Di Bari, Malu Mascia, Sandro Milani, Lamberto Santilli",en
tt0045763,Fireworks,5.7,nm0389219,"Comedy,Musical,Romance",Pilade Cristiani,"qbn, fr, ru, en"
tt0045765,Fighter Attack,5.3,nm0782947,War,Arthur Caruso,"fr, ja, qbn"
tt0045769,The Final Test,6.6,nm0002190,"Comedy,Drama,Sport",Cyril Washbrook,sr
tt0045774,Flight to Tangier,5.3,nm0912766,"Action,Crime,Drama",Rene Chatenay,"en, fr, tr, qbn"
tt0045775,Brutality,6.3,nm0826237,Drama,"Robert Lach, Grita Pokorny, Walter Ruys, Annemarie Ziegler",en
tt0045782,Forever Female,6.6,nm0710924,Comedy,Hyacinthe Railla,"qbn, en, ja, fr"
tt0045783,Fort Algiers,5.4,nm0782947,"Action,Adventure,Drama",Michael Couzzi,"tr, en, fr"
tt0045784,Fort Ti,5.1,nm0145336,"Adventure,War,Western",Phyllis Fowler,"tr, en, ja"
tt0045787,Four Sided Triangle,5.8,nm0279807,"Romance,Sci-Fi",William F. Temple,ru
tt0045793,From Here to Eternity,7.6,nm0003593,"Drama,Romance,War",Kendall J. Fielder,"en, ru, bg, fr, cmn, hr, fa, sr, sv, sl, qbn, tr, ca, ja"
tt0045803,The Gay Adventure,5.5,nm0663653,Comedy,"Henry Pascal, Eva Savage, Philip Slessor",en
tt0045807,Jealousy,6.9,nm0314584,Drama,Guido Medici,"tr, en"
tt0045819,The Girls of Pleasure Island,5.7,"nm0304681,nm0378540","Comedy,Romance",William Maier,tr
tt0045821,The Life and Music of Giuseppe Verdi,6.5,nm0558127,"Biography,Drama,Music",Eduardo Dominici,"tr, bg, ru, fr, en, qbn"
tt0045826,Glen or Glenda,4.2,nm0000248,Drama,"Nathan Bailey, Captain DeZita, 'Tommy' Haynes, 'Bud' Schelling, Shirley Speril, Mr. Walter, Evelyn Wood","fr, tr, ja, ru, en"
tt0045827,The Glory Brigade,5.9,nm0916271,"Action,Drama,War","John Haretakis, Father Patrinakos","qbn, en, fr"
tt0045839,Gilbert and Sullivan,6.9,nm0319148,"Biography,Drama,Musical",Muriel Brunskill,en
tt0045841,The Great Sioux Uprising,5.6,nm0045800,"Drama,Western","Duane E. Conner, Earl Conner, Dewey Drapeau, Harvey Matlock, Francis Shillal","fr, en, tr, qbn"
tt0045843,I Was a Parish Priest,7.1,nm0317856,Drama,María Benquer,"ru, fr, qbn"
tt0045846,Gun Fury,6.0,nm0909825,"Action,Adventure,Crime","Robert A. Granger, Ray Thomas","bg, qbn, ja, en, fr, ru, tr, ca"
tt0045848,Sawdust and Tinsel,7.4,nm0000005,Drama,"Lars Jönsson, Gunborg Larsson, Gunnar Lindberg, Mona Sylwan, Rune Zetterlund","ja, en, fa, bg, fr, qbn, sv, ru"
tt0045852,Hab' ich nur deine Liebe,5.8,nm0902025,"Drama,Music,Musical","Hermann Schwed, Gretl Sellier, Gert Stemberger","qbn, tr, fr, de"
tt0045861,There's a Road on the Right,6.5,nm0746334,Drama,Luz de Sevilla,"en, tr"
tt0045866,Here Come the Girls,5.8,nm0083125,"Comedy,Musical",Everett Corelli,"fr, qbn"
tt0045870,Ein Herz voll Musik,4.2,nm0826452,"Comedy,Music,Romance","Eva Faber, Karl Greulich, Theo Mietzner",ja
tt0045877,The Hitch-Hiker,6.9,nm0526946,"Crime,Drama,Film-Noir","June Dinneen, Kathy Riggins","bg, ja, en, ru, fr"
tt0045883,Hondo,7.0,nm0268513,"Drama,Romance,War",Al Gonzales,"bg, ja, sv, ru, cmn, en, fr, tr"
tt0045886,Houdini,6.8,nm0550892,"Biography,Drama,Romance","Norma Jean Eckart, Esther Garber","fr, en, ja, qbn, ru, tr"
tt0045888,House of Wax,7.0,nm0211964,Horror,Terry Mitchell,"ru, fr, tr, en, qbn, ja, ca, bg"
tt0045891,How to Marry a Millionaire,6.8,nm0624535,"Comedy,Drama,Romance",Eve Finnell,"ru, cmn, en, bg, sr, tr, uk, fr, qbn, ja"
tt0045897,I Confess,7.2,nm0000033,"Crime,Drama,Thriller","Carmen Gingras, Paul LaCouline, Oliver Tangvay","fr, sv, ru, en, qbn, ja, bg, he, ca, sr"
tt0045898,The I Don't Care Girl,6.1,nm0045800,"Biography,Musical",Irving Gibbs,"tr, fr"
tt0045902,"I, the Jury",6.1,nm0261400,"Crime,Drama,Film-Noir","Charles McLaughlin, Robert Swanger","ro, en, qbn, fr"
tt0045905,I and My Wife,6.4,nm0902025,Comedy,"Edgar David, Edith Iro","en, ru"
tt0045911,Inferno,7.0,nm0001928,"Crime,Drama,Romance",Wendell Jones,"ru, tr, en, ja"
tt0045914,Interdit de séjour,6.2,nm0134383,\N,Jean Rossignol,"fr, qbn"
tt0045917,Invaders from Mars,6.2,nm0580017,"Horror,Sci-Fi",Paul Klott,"sv, cs, ca, qbn, ja, sk, fr, ru, en"
tt0045919,Island in the Sky,6.8,nm0920074,"Adventure,Drama","Jim Dugan, Cass Gidley, William A. Mueller","qbn, sv, ru, ja, cmn, en, fr"
tt0045921,It Happens Every Thursday,6.4,nm0678928,"Comedy,Drama",Jane S. McIlvaine,en
tt0045925,Jack Slade,6.5,nm0776838,Western,David May,"ja, qbn, en, fr"
tt0045929,The Upstarts,6.2,nm0836265,Drama,"Janko Kersnik, Marija Nablocka",en
tt0045931,Jennifer,5.8,nm0628540,"Drama,Mystery,Thriller","Ruth Matthews, Virginia Myers, Joel Newton",en
tt0045933,Jeromín,6.3,nm0524551,"Drama,History",José Blach,fr
tt0045941,The Juggler,6.5,nm0229424,"Drama,History,War",David Anderman,"en, sr, qbn, ru, tr, fr"
tt0045947,Juzgado permanente,5.6,nm0739298,"Crime,Drama","Marcelino Ibero, Delfín Mateu, Mateo Morell",en
tt0045949,The Empress of China,5.7,nm0782804,Comedy,H.W. Loeb,en
tt0045953,The Cannery Boat,7.3,nm0945522,Drama,"Rosak Kawarazaki, Yasushi Mizura, Shisuye Yamagishi","ja, en"
tt0045955,Kasvot kuvastimessa,5.5,nm0748145,Drama,"Erkki Holm, Aje Klinthe, Ritva Noponen, Hellevi Selvilä",sv
tt0045957,Keto and Kote,7.7,"nm0846005,nm0311491","Comedy,Music,Romance",Petre Amiranashvili,"ja, ru"
tt0045958,The Kid from Left Field,6.5,nm0428195,"Comedy,Drama,Family","George Garner, Robert Kelly, George Phelps, Gene Thompson","fr, en"
tt0045964,The Monastery's Hunter,6.0,nm0718243,"Drama,History,Romance",Sepp Schmid,en
tt0045966,Knights of the Round Table,6.2,nm0861703,"Action,Adventure,Drama",Gwendoline Evans,"ja, en, ru, qbn, fr, tr"
tt0045988,Latin Lovers,5.4,nm0503777,"Comedy,Music,Romance",Lynn Sousa,"qbn, fr, tr"
tt0045992,The Lawless Breed,6.3,nm0909825,"Biography,Western",John Wesley Hardin,"fr, ru, tr, en, ja"
tt0045995,Let's Do It Again,5.7,nm0355284,"Comedy,Musical",Maurice Stein,"tr, qbn, fr"
tt0046000,Lili,7.3,nm0910199,"Drama,Musical,Romance",Arthur Mendez,"ru, en, bg, ja, tr"
tt0046001,The Limping Man,5.7,nm0256831,"Crime,Drama,Film-Noir","Max Boisot, Maxwell Gardner","en, ru"
tt0046002,A Lion Is in the Streets,6.1,nm0909825,"Drama,Romance,Thriller",Adria Locke Langley,"fr, qbn, ru"
tt0046003,Little Boy Lost,6.8,nm0780833,Drama,"Jean Champommier, Michel Champommier, Christiane Fourcade, Paul Magranville, Ninon Stratly","ja, tr, fr, ru"
tt0046004,Little Fugitive,7.5,"nm0039107,nm0257129,nm0649907","Drama,Family","Ray Ashley, Richard Brewster, Tommy DeCanio, Ruth Longwell, Lester Troob, Jay Williams","ru, ja, sr"
tt0046009,The Lone Hand,6.6,nm0792450,"Drama,Western",Russ Franks,en
tt0046013,The Love Lottery,5.5,nm0187769,"Comedy,Musical,Romance","Zelma Bramley Moore, Charles Neilson Gattey","ru, qbn, fr"
tt0046023,Maddalena,7.4,nm0312866,Drama,Madeleine Masson de Belavalle,"en, fr"
tt0046026,The Magnetic Monster,5.8,"nm0802561,nm0834744","Horror,Sci-Fi","Leonard Baurmash, Blaine Sanford","fr, en, tr, qbn, ca, ru"
tt0046029,Malta Story,6.5,nm0221423,"Drama,History,War",Richard Leven,"en, ja, fr, bg, ru"
tt0046030,Miss Nitouche,5.7,nm0001905,Comedy,"Ernest Blum, Sophie Saint-Ra","ru, tr, en"
tt0046034,The Paris Express,6.3,nm0294094,"Crime,Drama","Michael Alain, Robin Alalouf, David Berman, Jean Deveaux, Joan St. Clair","sr, ru, fr, qbn, en, ja, tr"
tt0046039,Man of Conflict,5.9,nm0538480,"Crime,Drama,Romance","Bruce Aris, Rex Brown",en
tt0046040,Man on a Tightrope,7.2,nm0001415,"Drama,Thriller","Mme. Brumbach, Hansi","sr, qbn, ja, en, ru, fr"
tt0046041,Man in Hiding,5.8,nm0279807,"Crime,Mystery","Terry Carney, Vernon Nolf",en
tt0046046,A Husband for Anna,6.9,nm0211459,Drama,"Rino Da Positano, Anna Galasso","fr, en, ru, tr, qbn"
tt0046051,Martin Luther,6.8,nm0681635,"Biography,Drama,History","Hans Lefebre, Egon Strohm",en
tt0046055,Stars of the Russian Ballet,7.5,nm0710888,"Documentary,Music","V. Bakanov, M. Bologobsyaya, E. Dubovsky, P. Feldt, Muza Gotlib, Pyotr Gussyev, G. Zlibert","ru, sr"
tt0046056,May Night,6.9,nm0745498,Comedy,F. Alekseyenko,ru
tt0046057,The Maze,5.8,nm0580017,"Drama,Fantasy,Horror",Maurice Davidson,"ru, en, fr"
tt0046066,Mesa of Lost Women,2.7,"nm0650259,nm0856682","Horror,Sci-Fi","June Benbow, Candy Collins, Kelly Drake, Melvin Gordon, Samuel Wu","en, ru"
tt0046076,Miss Sadie Thompson,5.9,nm0076779,"Drama,Musical,Romance","John Grossett, Dennis Medieros","ru, en, fr, qbn, tr, ja"
tt0046079,Mission Over Korea,5.4,nm0780764,"Drama,War","Richard Bowers, Al Choi",fr
tt0046084,The Woman Who Came from the Sea,5.8,nm0211180,"Drama,War","David Davidson, Gandos de Reilly","tr, fr, qbn"
tt0046085,Mogambo,6.6,nm0000406,"Adventure,Drama,Romance","Jackson Drury, Asa Etula, Bert Monk","en, fr, tr, ja, ru, bg"
tt0046087,Money from Home,6.1,nm0550892,"Comedy,Musical,Romance",Carolyn Phillips,"fr, en, ru, qbn, ja"
tt0046100,La moza de cántaro,5.3,nm0721074,Comedy,"Merche Ballesteros, Elena Cozar, Juanita Ozores",ru
tt0046103,Mulata,6.2,nm0554924,Drama,Roberto Olivencia Márquez,"qbn, fr"
tt0046106,Murder at 3am,5.3,nm0780695,"Crime,Drama,Mystery",Greta Mayaro,en
tt0046131,Nuits andalouses,5.4,nm0166996,Drama,Encarna,"es, fr, qbn"
tt0046132,Noi cannibali,8.0,nm0503135,Drama,"Laura Contarini, Stella Spadoni",tr
tt0046134,It's Never Too Late,5.6,nm0711894,"Drama,Fantasy,Mystery",Manuel Bolzarini,en
tt0046161,Paratrooper,5.9,nm0950109,"Drama,War","Richard Ford, Yvonne Stein","ru, qbn, en, ja, tr, fr"
tt0046166,Norman Conquest,5.5,nm0461497,"Comedy,Crime,Drama","Leon Davey, Berkeley Gray",tr
tt0046168,The Walk,5.6,nm0711031,"Comedy,Drama","Ida Ceccano, E. Curreli, Antonio Ielo, Adele Olivoni, Vittoriano Vencini",en
tt0046186,Phantom from Space,4.1,nm0928644,"Horror,Sci-Fi","Lela Nelson, Max Wulson","en, ru, bg"
tt0046188,Pietà per chi cade,6.2,nm0182244,"Drama,Romance",Virgilio D'Archi,"fr, qbn"
tt0046192,Planet Outlaws,3.9,\N,"Action,Family,Sci-Fi","Helen Leighton, Renault Revier, Joseph Sorbera",en
tt0046209,Prisoners of the Casbah,4.8,nm0054374,"Adventure,Drama,Romance",Mimi Borrel,"qbn, fr"
tt0046213,Project Moon Base,3.3,nm0848234,Sci-Fi,Karl H. Johnson,"hi, en, ru"
tt0046218,Punktchen and Anton,7.1,nm0257148,"Comedy,Family",Claus Kaap,"ru, en, qbn"
tt0046222,A Queen Is Crowned,6.9,\N,"Documentary,History",D.F. Malan,"fr, ja"
tt0046227,Theft of the Sabines,6.7,nm0389219,"Comedy,Music","Ekkehard Lau, Norbert Steinkrauß",en
tt0046237,Resan till dej,5.4,nm0645041,"Comedy,Music","Kerstin Christersson, Elis Gustavsson, Berit Hermansson, Vera Kihlgren, Rune Leth, Angelica Lindberg, Ann-Marie Wallin",ru
tt0046238,Return to Paradise,6.0,nm0733476,"Adventure,Drama,Romance","Donald Ashford, Frances Gow, La'ili, Harry Lenart, Brian McEwen, George Miedeske, Kathleen Newick, Howard Paulsen, Herbert Ah Sue","en, qbn, fr, ca, sv, ja, tr, ru"
tt0046246,Rob Roy: The Highland Rogue,6.3,nm0294094,"Adventure,Biography,Drama","Max Gardner, Rolph Hutcheson, Marietta MacLeod, John McEnvoy, Lewis Schwarz","en, qbn, ja, fr, tr"
tt0046247,The Robe,6.7,nm0467396,"Drama,History,Romance","Irene Demetrion, Pamela Robinson","fa, bg, ru, qbn, en, fr, ja, tr"
tt0046248,Robot Monster,3.0,nm0875973,"Comedy,Family,Horror",Alan Winston,"ru, ja, cs, en"
tt0046250,Roman Holiday,8.0,nm0943758,"Comedy,Romance","Armando Ambrogi, Ugo Ballerini, Princess Alma Cattaneo, Ferdinando De Aldisio, Jan Dijksgraaf, Jacques Ferrier, Helen Fondra, Sytske Galema, Teresa Gauthier, Otto Gross, Heinz Hindrich, Stephen House, Kurt Klinger, Friedrich Lampe, Diane Lante, Mario Lucinni, Luis Marino, Rabindranath Mitter, Maurice Montabre, Julio Moriones, Richard Neuhaus, Giustino Olivieri, Giacomo Penza, Alcide Tico, Patricia Varner, Cesare Viori, Hank Werbe","fr, sv, ja, qbn, ca, tr, ru, en, cmn, hr, he, hi, bg"
tt0046251,The White Rose,7.1,"nm0273477,nm0553949","Biography,Drama","Rafael Macoreto, Armando Martínez, Gaspar Pombo, Manuel Riera, Palma de Rivera, Celestino San Gil, Rudy Suárez",en
tt0046254,The Royal African Rifles,6.0,nm0782947,Adventure,Patrick Henry,"qbn, fr"
tt0046260,Saadia,5.5,nm0506797,"Adventure,Drama","Mahjoub Ben Brahim, Francis D'Autheville, Abdallah Mennebhi","en, tr, bg"
tt0046264,Sadko,5.3,nm0699693,"Adventure,Fantasy","Jose Malar, George Stein, B. Surovtsev","ru, qbn, sr, fr, ja, sl, hr"
tt0046268,The Wages of Fear,8.2,nm0167241,"Adventure,Drama,Thriller","Faustini, Seguna","bg, ja, en, ca, hr, fr, sr, tr, ru, sl, cmn, fa"
tt0046269,Salome,5.8,nm0226189,"Drama,History","Richard Rivas, Ruben T. Rivas, William Spaeth","ru, en, tr, fr, ja"
tt0046270,Salto Mortale,6.9,nm0869645,Drama,"Hildegard Hornauer, Christl Lazarus",tr
tt0046271,San Antone,6.1,nm0437356,"Drama,Western",Curt Carroll,"en, fr"
tt0046273,Beauty and the Bullfighter,4.9,"nm0745801,nm0616347",Drama,"Léandre Alpirente, Rico Sevillanito, Florence Vernet","tr, sr"
tt0046279,Scandal at Scourie,6.6,nm0624535,Drama,"Vicki Joy Kreutzer, Mary McSherry","tr, fr, en, sr"
tt0046288,Second Chance,5.9,nm0005789,"Crime,Drama,Film-Noir","Eddie Kerrant, Pere Rand","ja, qbn, en, fr, ru"
tt0046289,The Secret of Helene Marimon,6.7,nm0129830,"Drama,Romance,War",J.B. Cherrier,"sr, en"
tt0046294,Seminole,6.1,nm0091430,"Adventure,Western",Peter Cranwell,"ja, fr, en, ru, bg, tr"
tt0046298,Serpent of the Nile,5.1,nm0145336,"Adventure,Biography,History",Conrad Wolfe,"en, tr, fr"
tt0046300,The Seven Ravens,6.9,"nm2488263,nm0225950","Animation,Fantasy",Walter Pepper,ru
tt0046305,Shark River,5.8,nm0712639,"Action,Adventure","Spencer Fox, Bill Piper","tr, qbn, fr"
tt0046306,She's Back on Broadway,5.8,nm0235066,"Comedy,Musical",Sy Milano,"en, qbn, fr"
tt0046309,"We, the Women",6.5,"nm0345373,nm0899581,nm0744023,nm0290041,nm0952737","Comedy,Drama",Ugo Boettler,"sr, fr, ja, qbn, bg, tr"
tt0046314,Sillankorvan emäntä,5.4,nm0881239,Drama,"Hilja Kilpi, Einari Marvia","ru, sv"
tt0046325,Skuggan,4.6,nm0266868,Drama,"Bertil Crone, Margareta Ygge",ru
tt0046330,Small Town Girl,6.4,nm0439107,"Musical,Romance",Peter Guilaroff,"tr, en, fr, ru"
tt0046333,So Big,6.7,nm0936404,"Drama,Romance,Western",Kerry Donnelly,"en, fr, ru, qbn"
tt0046344,Sombrero,5.3,nm0287988,"Musical,Romance",Gabrielle Roussellon,"fr, tr, ja"
tt0046345,Summer with Monika,7.5,nm0000005,"Drama,Romance","Margaret Young, Gun Östring","ja, cmn, qbn, ru, en, sk, fr, bg"
tt0046348,South Sea Woman,6.2,nm0523893,"Action,Adventure,Comedy","Viola Daniels, William O'Leary","ja, qbn, en, tr, ru, fr"
tt0046352,Riviera,6.9,nm0490444,"Comedy,Drama","Anna Bassi, Paolino Baulino, Mario Bettiol, Giovanni Bonasera, Elia Calvi, Wassili D'Angiò, Patrizia Deaton, Giacomo Fracassi, Ugo Garzoglio, Anita Giudice Bertolotto, Marisa Guffanti, Sigrun Kristjonson, Anna Gabriella Pisani, Luigi Veneri, Giovanni Aonzo, Bruno Bettiol","tr, en, fr"
tt0046359,Stalag 17,8.0,nm0000697,"Comedy,Drama,War","Rodric Beckham, Jarvis Caston, James Dabney Jr., Yvette Eaton, Jerry Gerber, Alla Gursky, Wesley Ling, William Mulcahy, Harry Reardon, Mara Sondakoff, Audrey Strauss, Herbert Street, Lyda Vashkulat","cmn, ru, sv, ja, tr, fr, en, bg"
tt0046373,The Great Adventure,7.1,nm0837116,"Drama,Family","Stina Andersson, Annika Ekedahl, Aina Fritzell, Amanda Haglund, Sigvard Kihlgren, Holger Stockman, Tryggve Thyselius","qbn, en, fr, ru"
tt0046374,The Story of Three Loves,6.8,"nm0591486,nm0718106","Drama,Fantasy,Music",Ken Anderson,"fr, ja, qbn, sr, tr, ru"
tt0046378,Both Sides of the Law,6.7,nm0101504,"Crime,Drama",P.H. Fearnley,"sr, en"
tt0046379,Die Stärkere,4.8,nm0509327,"Drama,Romance",Christa Linden,"qbn, fr"
tt0046391,Südliche Nächte,4.3,nm0826452,"Music,Romance",Elisio Mucci,"qbn, fr, en"
tt0046394,Tagebuch einer Verliebten,5.0,nm0902082,Comedy,Dina Melken,"qbn, fr"
tt0046395,Taiheiyô no washi,7.6,nm0393094,"Drama,History,War",Shizuo Ikeda,"en, ja"
tt0046398,Take the High Ground!,6.0,nm0112218,"Drama,War",Walter K. Sims,"qbn, fr, ja, ru, tr, en"
tt0046399,The Tall Texan,6.3,nm0930536,Western,"Samuel Herrick, Dean Train","ja, en"
tt0046402,The Dancing Heart,5.2,nm0509327,"Comedy,Musical","Toni Larater, Michael Rayne, Genia Ugrinsky",sr
tt0046411,Terror Street,5.9,nm0876440,"Crime,Drama,Film-Noir",Jacqueline McKenzie,en
tt0046414,Beat the Devil,6.4,nm0001379,"Action,Adventure,Comedy",Alex Pochet,"en, fr, bg, sr, qbn, tr, ru, ja"
tt0046421,They Who Dare,5.5,nm0587277,"Drama,History,War",Anthea Leigh,"fr, qbn, ja, en, cmn, ru"
tt0046425,Thunder Bay,6.5,nm0542649,"Adventure,Drama","Adrine Champagne, Donald Green, Laurie Vining","qbn, ja, ru, en, sr, tr, fr"
tt0046429,The Adultress,7.4,nm0138893,"Crime,Drama,Romance",C. Lombardini,"en, ja, tr, ru, sr"
tt0046431,Lowlands,6.3,nm0726166,"Drama,Musical,Romance",Mena Mair,"bg, ja, ru"
tt0046435,Titanic,7.0,nm0624535,"Drama,History,Romance","Joan Hayes, Guy Standing Jr.","tr, en, bg, ru, fr, ja, hi"
tt0046436,The Titfield Thunderbolt,7.0,nm0187769,Comedy,"Harold Alford, Ted Burbidge","en, qbn"
tt0046441,Tonight We Sing,6.2,nm0500552,"Drama,Music","Ruth Goode, Alex Steinart","fr, qbn, tr"
tt0046449,Torna!,5.9,nm0558127,Drama,"Maurizio Avanzini, Filippo Del Bello, Maria Grazia Pisani","fr, qbn, tr"
tt0046450,Torpedo Alley,5.9,nm0484645,Drama,"Raymond Bovee, Ross Thompson","qbn, fr"
tt0046451,Hands Off the Loot,7.7,nm0065442,"Crime,Drama",Lucilla Solivani,"en, qbn, sr, fr, sv, ru, ja, fa, bg"
tt0046455,La tratta delle bianche,6.4,nm0173728,Drama,"Nevio Biagini, Clara Di Stefano, Giorgio Nencini, Bruna Rossini","qbn, fr"
tt0046457,Treasure of the Golden Condor,6.1,"nm0695937,nm0202681",Adventure,Wende Weil,"qbn, tr, fr, en"
tt0046467,Der träumende Mund,6.2,nm0902082,Drama,Eva Portmann,"fr, qbn"
tt0046470,Neapolitan Turk,6.9,nm0560395,Comedy,Tito Solesi,en
tt0046480,Act of Love,6.5,nm0514822,"Drama,Romance,War","Eugène Nose, Nedd Willard","sr, en, fr, qbn, tr, ja"
tt0046487,Monsieur Hulot's Holiday,7.3,nm0004244,Comedy,Marguerite Gérard,"tr, ru, sv, cmn, hr, sl, sr, ja, yue, bg, en, qbn, fr"
tt0046497,The Veils of Bagdad,6.2,nm0792450,"Action,Adventure,Drama",Hans Schnabel,"ja, en"
tt0046498,Skanderbeg,7.7,nm0951170,"Action,Drama,History",Adivie Alibali,"en, ru"
tt0046504,Vesna,8.1,nm0134898,"Comedy,Music,Romance","Pavle Biber, Alice Cimperman, Ana Grgurevic, Franc Merjasec, Marjeta Rupnik, Ana Zarnik","en, ru"
tt0046509,Vi tre debutera,5.7,nm0252475,Drama,"Harry Ekbladh, Hans Elldin, Didtefons Pasquale, Curt Schön",en
tt0046513,Il viale della speranza,6.4,nm0728271,Comedy,Franco Cannarozzo,ru
tt0046515,Vicki,6.5,nm0395105,"Crime,Drama,Film-Noir",Bonnie Paul,"ru, en, fr, qbn, tr"
tt0046520,Violated,5.1,nm0833534,"Crime,Drama,Film-Noir","Dan Bergin, Lili Dawn, Suzanne Dean, William Holland, Fred Lambert, Jason Niles, Mary Noble, Sally Peters, Charles Uday","qbn, fr"
tt0046521,I Vitelloni,7.8,nm0000019,"Comedy,Drama","Ugo Benvenuti, Michele Bomarzi","cmn, en, tr, fr, ja, sv, fa, sr, bg, cs, ca"
tt0046527,Flight 971,4.6,nm0759453,Drama,"Carmen Labajos, Fernando Rein Loring",en
tt0046534,The War of the Worlds,7.0,nm0005738,"Action,Sci-Fi,Thriller","Charles Davies, Aubrey Law, Milt Olson, Waldon Williams","cs, fr, en, ja, qbn, uk, sk, bg, tr, ru, sv, nl"
tt0046539,No Way Back,6.5,nm0895857,"Drama,History,Romance",Gregory Klimov,"fr, qbn"
tt0046541,Wenn der weiße Flieder wieder blüht,5.4,nm0220131,Drama,Erika Block,"ja, fr, cs, qbn"
tt0046544,Wherever She Goes,6.7,nm0330458,Drama,"Rex Dawe, Tim Drysdale, Suzanne Parrett","ja, ru"
tt0046547,White Witch Doctor,6.1,nm0368871,"Action,Adventure,Drama","Mashood Ajala, Eddie Lynn, Joseph C. Narcisse","fr, tr, qbn, ja, en, ru, bg, sr"
tt0046550,Wild Women,3.8,nm0206031,"Adventure,Comedy","Frances Dubay, Leah Wakefield",en
tt0046552,Wings of the Hawk,6.2,nm0091430,"Adventure,Romance,Western",David Johnston,"fr, tr, en, qbn"
tt0046555,Irene in Nöten,6.4,nm0256586,"Comedy,Romance","Erle Ganbac, Hans Nüchtern","sr, sl"
tt0046558,Twilight Women,6.5,nm0663653,"Crime,Drama,Romance",Michael Corkran,"qbn, fr"
tt0046561,The Yellow Balloon,6.9,nm0496746,"Crime,Drama,Thriller",Stephen Fenemore,"qbn, en, fr"
tt0046565,Zaporozhets za Dunayem,6.9,nm0487702,"Comedy,Musical","Ivan Kuchenko, Nikolay Shelyuzhko","ru, en"
