tconst,primaryTitle,averageRating,directors,genres,actor,languages
tt0005078,The Cheat,6.5,nm0001124,"Drama,Romance","Hazel Childers, Arthur H. Williams",ja
tt0005190,Destruction,7.4,nm0205653,"Drama,Romance","Esther Hoier, Bernard Chapin",fr
tt0005393,The Girl of the Golden West,5.3,nm0001124,"Romance,Western",John Oretgo,pt
tt0005529,Blind Justice,6.7,nm0159725,"Crime,Drama,Horror","Grethe Brandes, Ulla Johansen","sr, sv"
tt0005542,In the Park,5.6,nm0000122,"Comedy,Short",Harry Ensign,"tr, ja, bg"
tt0005574,The Price of Betrayal,6.9,nm0803705,"Drama,Short",Kaja Eide Norena,fr
tt0005592,Kreutzer Sonata,6.5,nm0107543,"Drama,Romance",Rhea Van Ole,ja
tt0005682,Madame Butterfly,5.3,nm0646058,Drama,"Frank Dekum, Jane Hall",ja
tt0005915,The Picture of Dorian Grey,6.5,"nm0583462,nm0233981","Drama,Fantasy,Horror","Paola Belova, Gustav Enriton",en
tt0005960,The Regeneration,6.8,nm0909825,"Biography,Crime,Drama",Peggy Barn,bg
tt0006115,A Submarine Pirate,5.3,"nm0043018,nm0152260","Comedy,Short",Grover G. Tigor,"ja, bg"
tt0006327,Young Romance,5.8,nm0577654,"Comedy,Romance","Violet Drew, Miss White",bg
tt0006333,"20,000 Leagues Under the Sea",6.1,nm0665737,"Action,Adventure,Sci-Fi","Ole Jansen, Leviticus Jones, Milton Loryea, James Milburn","ja, en"
tt0006339,The Adventures of Peg o' the Ring,4.6,"nm0285643,nm0413045","Action,Drama",Charles Munn,ja
tt0006456,La vie de Bohème,7.1,nm0135052,Romance,Warren G. Bellew,ja
tt0006568,A Daughter of the Gods,6.9,nm0107543,Drama,"A. Culp, Marcelle Hontabat, C. Richards, Joseph Allan Turner",ja
tt0006614,The Dumb Girl of Portici,6.4,"nm0806565,nm0916665","Drama,History,Romance",Adolph Schmidt,ja
tt0006715,Genie tegen geweld,6.0,nm0294276,"Crime,Drama,Mystery","Jan Cijsch, Henni Hillebrand, Hetty Ruijs",en
tt0006819,Hoffmanns Erzählungen,6.1,nm0652650,Fantasy,Ruth Oswald,"tr, en"
tt0006846,Idle Wives,5.5,"nm0806565,nm0916665",Drama,"Pauline Aster, Cecilia Matthews",ja
tt0006864,Intolerance,7.7,nm0000428,"Drama,History","Walter L. Hall, Margaret Mooney","cmn, ja, ca, en, sr, bg"
tt0006995,Macbeth,6.7,nm0256221,"Drama,History","Madge Dyer, L. Tylden","bg, ja"
tt0007202,Poor Little Peppina,6.0,nm0646058,Drama,"N. Cervi, Francesca Guerra, Antonio Maiori, Mrs. A. Maiori, Ernest Torti",ja
tt0007264,The Rink,7.0,nm0000122,"Comedy,Short",Leota Bryan,"bg, tr, ja"
tt0007272,Romeo and Juliet,7.5,"nm0124279,nm0633605","Drama,Romance","John Arthur, Irene Berg, Samuel Berg, Edward Elsner, Edward Ewers, Barry Maxwell",bg
tt0007309,Shoe Palace Pinkus,5.6,nm0523932,Comedy,Else Kentner,"en, ja"
tt0007338,Sherlock Holmes,6.2,nm0077928,"Crime,Mystery","Marjorie Kay, Ludwig Kreiss, Stewart Robbins","fr, ja"
tt0007620,Alexander den Store,5.1,nm0830249,Comedy,"Arthur Alftán, Hjalmar Lauritz",ca
tt0007646,El apóstol,7.2,nm0188105,"Animation,Comedy,Drama",Diógenes Taborda,en
tt0007791,Cheyenne's Pal,4.5,nm0000406,Short,"Pete Carey, Steve Pimento","sr, ja"
tt0007958,Peach Blossom,6.1,nm0214496,Drama,Mariano Gale,en
tt0007963,The Foolish Virgin,8.1,nm0135052,Drama,"Marie Lines, Jacqueline Morhange",en
tt0008031,The Great Secret,5.4,nm0127511,"Action,Adventure",Charles Ripley,en
tt0008122,The House Built Upon Sand,6.8,nm0607378,"Comedy,Drama",Clay McConnell,en
tt0008133,The Immigrant,7.6,nm0000122,"Comedy,Drama,Romance",Tom Harrington,"fr, ja, sv, bg, tr"
tt0008279,The Torture of Silence,6.2,nm0304098,Drama,Antonin Carène,"ja, en, cmn"
tt0008305,Les Misérables,6.7,nm0515979,Drama,"Anthony Phillips, Mina Ross","en, tr, ja"
tt0008395,Father Sergius,6.8,"nm0901502,nm0698839","Biography,Drama,History",Y. Bukke,"en, ja, sr"
tt0008443,The Poor Little Rich Girl,6.7,nm0869665,"Comedy,Drama,Family",George Gernon,ru
tt0008672,Wanted - A Film Actress,5.9,nm0830249,Comedy,Adolf Blomstedt,"sv, ca"
tt0008690,The Tornado,5.4,nm0000406,"Short,Western",Elsie Thornton,ja
tt0008710,The Girl from the Marsh Croft,6.6,nm0803705,Drama,Thekla Borgh,"en, sv"
tt0008807,The Last Indian Attack,6.5,nm0337395,"Documentary,History,War",Alcides Greca,"bg, en"
tt0008810,99,4.3,nm0002031,"Crime,Drama",R.F. Foster,en
tt0008845,Arizona,5.6,"nm0001196,nm0662032","Comedy,Drama,Romance",Hugh Carlyle,"en, ja"
tt0008891,The Blue Bird,6.9,nm0869665,"Family,Fantasy","Katherine Bianchi, Robin Macdougall, S.E. Potapovitch, Edwin E. Reed","ja, en, bg"
tt0008933,Die Brüder Karamasoff,6.5,"nm0296193,nm0118266",Drama,Dolly Eichelberg,"sr, ja"
tt0008950,Carmen,5.9,nm0523932,Drama,Alexander Hubert,ja
tt0009014,The Tenth Symphony,6.0,nm0304098,Drama,Ariane Hugon,en
tt0009018,A Dog's Life,7.7,nm0000122,"Comedy,Drama,Short","Mel Brown, L.S. McVey, J.F. Parker, N. Tahbel","tr, fr, ja, sr, bg"
tt0009020,A Doll's House,7.3,nm0869665,Drama,Mrs. R.S. Anderson,"bg, ja"
tt0009047,The Eyes of Julia Deep,6.5,nm0408937,"Comedy,Drama",Ida Easthope,ja
tt0009104,The Ghost of Rosy Taylor,6.6,"nm0806143,nm0454771",Drama,Joseph Daskam Bacon,ja
tt0009109,The Girl Who Stayed at Home,6.4,nm0000428,"Drama,War","E.H. Crowder, General March",sr
tt0009145,The Heart of Humanity,5.9,nm0392709,"Drama,Romance,War",Lieutenant Smith,en
tt0009150,Hearts of the World,6.6,nm0000428,"Drama,War","Alphonse Dufort, Jean Dumercier, Yvette Duvoisin, Tessie Harron, Mrs. Harron, Jules Lemontier, L. Lowry, Georges Loyer, Gaston Riviere",sr
tt0009176,Hindle Wakes,7.0,nm0002061,Romance,Colette O'Neil,ja
tt0009204,The House of Hate,6.8,nm0782707,"Action,Drama",Paul Dillon,"uk, ru"
tt0009241,Johanna Enlists,5.8,nm0853336,"Comedy,Romance","Jean Prentis, June Prentis","ja, en"
tt0009405,My Cousin,6.2,nm0430968,"Comedy,Drama","A.G. Corbelle, Joseph Riccardi, Bruno Zirato",ja
tt0009492,A Petticoat Pilot,7.3,nm0836316,"Comedy,Drama","Billy Crary, Cecil Lionel",ja
tt0009527,Queen of the Sea,6.7,nm0012317,"Adventure,Fantasy,Romance","Fred Drucker, Mildred Keats, Minnie Methol",ja
tt0009552,Riders of the Purple Sage,5.5,nm0515979,Western,J. Holmes,ja
tt0009559,A Romance of Happy Valley,6.3,nm0000428,"Drama,Romance","Mary Castelman, Frances Sparks","ja, sr"
tt0009608,Shifting Sands,5.5,nm0662032,Drama,Leone Carton,en
tt0009650,The Squaw Man,5.2,nm0001124,"Drama,Western",M. Hallward,ja
tt0009682,Tarzan of the Apes,5.8,nm0796657,"Action,Adventure","Ted Bevis, F.I. Wetherbee","fr, ja, ru, qbn, en"
tt0009702,Till I Come Back to You,5.5,nm0001124,"Drama,Romance,War",C. Renfeld,ja
tt0009750,Congestion,4.5,"nm0231060,nm11389006,nm3584392",\N,Anatoli Dolinov,en
tt0009765,Virtuous Wives,4.8,nm0875869,Drama,"Lucille Clayton, O'Kane Conwell, Harold Gwynn, Captain Mortimer",ja
tt0009811,Wild Women,4.4,nm0000406,Western,E. Van Beaver,"sr, ja"
tt0009857,A 111-es,4.2,nm0466099,"Drama,Romance,Thriller","Sándor Dániel, Lila Gacs",en
tt0009878,Different from the Others,7.0,nm0652650,"Crime,Drama,History","Karl Giese, Emil Linke, Alexandra Willegh","en, ja"
tt0009892,Auction of Souls,5.5,nm0002177,"Drama,History,Romance",Aurora Mardiganian,ja
tt0009905,Barrabas,7.6,nm0275421,"Crime,Thriller",Lyne Stanka,"en, qbn, fr"
tt0010002,Checkers,5.0,nm0822801,"Adventure,Comedy,Drama","Gene Bucas, Juliet Crane, Anna Neilson",ja
tt0010008,The Cinema Murder,8.1,nm0048478,Drama,W. Scott Moore,ja
tt0010060,The Delicious Little Devil,6.2,nm0502752,"Comedy,Drama",I.S. McVea's Band,"ja, en"
tt0010061,Deliverance,6.6,nm0686859,"Biography,Drama","Kate Adams Keller, Phillips Brooks Keller, Jenny Lind, Sarah Lind","fr, ja"
tt0010113,Ett farligt frieri,6.0,nm0138156,Comedy,Gull Cronvall,en
tt0010178,The Glorious Lady,6.0,nm0410271,Drama,Mrs. Henry Clive,ja
tt0010193,The Greatest Question,6.0,nm0000428,Drama,William Hale,sr
tt0010215,The Haunted Bedroom,7.1,nm0629243,"Drama,Horror",Joe Anthony,ja
tt0010247,Sir Arne's Treasure,7.1,nm0830249,"Drama,History","Manne Nilsson, Jenny Öhrström Ebbesen","en, ja, ca"
tt0010267,The Hoodlum,6.7,nm0291548,Comedy,Julie Mathilde Lippmann,ja
tt0010307,J'accuse!,7.7,nm0304098,"Drama,Horror,War",Angèle Guys,"en, ja"
tt0010319,The Jungle Trail,1.8,nm0822801,Adventure,Edward Bach,ja
tt0010386,The Lost Battalion,6.3,nm0454535,"Drama,War","Robert Alexander, Herman J. Bergasse, Philip Cepaglia, John Coleman, William J. Cullen, Jack Hershkowitz, Lieutenant Jordan, Augustus Kaiser, J.A. King, Abraham Krotoshinisky, Frederick F. McGuirk, Arthur F. McKeogh, George G. McMurtry, J.J. Munson, Harry A. Palmer, J.W. Rosson, Charles W. Whittlesey",en
tt0010402,Love's Prisoner,6.4,nm0227020,"Crime,Drama",Dolly Dare,ja
tt0010418,Male and Female,6.9,nm0001124,"Adventure,Drama",Rhy Darby,ru
tt0010466,The Miracle Man,6.7,nm0875869,Drama,Robert M. Davis,ja
tt0010499,The Mystery of the Yellow Room,7.1,nm0154352,Mystery,"Catherine Ashley, Jean Ewing, John McQuire, William Morrison",ja
tt0010548,Paid in Full,7.0,nm0154352,Drama,Jane Farrell,ja
tt0010558,Perils of Thunder Mountain,5.1,"nm0102908,nm0122210","Action,Adventure",W.J. Burman,ja
tt0010598,The President,6.6,nm0003433,Drama,Olga Raphael-Linden,"ja, en, bg"
tt0010600,The Doll,7.4,nm0523932,"Comedy,Fantasy,Sci-Fi",Lapitski,"ja, cmn, en"
tt0010616,The Red Lantern,6.6,nm0135052,Drama,Edith Wherry,"sr, ja"
